co_code|company_name|owner_code|owner_gp_name|co_industry_gp_code|co_industry_name|incorporation_year|nse_symbol|bse_scrip_id
23217|ASSAM COMPANY INDIA LTD.|020202000000|Private (Foreign)|0101011101050000|Tea|1977|ASSAMCO|ASSAMCO
23249|ASSAM PETROCHEMICALS LTD.|010201000000|State Govt. - Commercial Enterprises|0101012035000000|Organic chemicals|1971|NA|ASSAPET
23287|ASSAMBROOK LTD.|020102000000|Private (Indian)|0101011101050000|Tea|1947|NA|ASSAMBR
23320|ASSOCIATED ALCOHOLS & BREWERIES LTD.|020102000000|Private (Indian)|0101011101300000|Alcoholic beverages|1989|ASALCBR|ASALCBR
23344|ASSOCIATED BUSINESS CREDITS LTD.|020102000000|Private (Indian)|0102200000000000|Diversified financial services|1982|NA|ASBUSIN
23354|A C C LTD.|020101020102|Adani Group|0101013001000000|Cement|1936|ACC|ACC
23355|ASSOCIATED CERAMICS LTD.|020102000000|Private (Indian)|0101013010000000|Refractories|1970|NA|ASSOCER
23356|REAL TOUCH FINANCE LTD.|020102000000|Private (Indian)|0102040000000000|Other fund based financial services|1997|NA|RTFL
23397|MIDAS INFRA TRADE LTD.|020102000000|Private (Indian)|0101040401000000|Wholesale trading|1994|NA|MIDINFRA
23434|ASSOCIATED MARMO & GRANITES LTD.|020102000000|Private (Indian)|0101020300000000|Minerals|1980|NA|ASSMRMO
23463|HIND ALUMINIUM INDS. LTD.|020102000000|Private (Indian)|0101013505010000|Aluminium & aluminium products|1987|NA|HINDALUMI
23482|A S I INDUSTRIES LTD.|020102000000|Private (Indian)|0101020300000000|Minerals|1945|ASOCSTONE|ASIIL
23495|R R I L LTD.|020102000000|Private (Indian)|0101060209000000|Other construction & allied activities|1991|NA|RRIL
23541|ASSOTEX ENGINEERING INDIA LTD.|020102000000|Private (Indian)|0101040401000000|Wholesale trading|1962|NA|NA
23561|ASTEC LIFESCIENCES LTD.|020102000000|Private (Indian)|0101012090000000|Other chemical products|1994|ASTEC|ASTEC
23668|ASTRA MICROWAVE PRODUCTS LTD.|020102000000|Private (Indian)|0101014010900000|Other electronics|1991|ASTRAMICRO|ASTRAMICRO
23696|ASTRAL LTD.|020102000000|Private (Indian)|0101012045010000|Plastic tubes, pipes, fittings & sheets|1996|ASTRAL|ASTRAL
23709|ASTRAZENECA PHARMA INDIA LTD.|020202000000|Private (Foreign)|0101040401000000|Wholesale trading|1979|ASTRAZEN|ASTRAZEN
23730|ASTRON DRUGS & INDS. LTD.|020102000000|Private (Indian)|0101012030000000|Drugs & pharmaceuticals|1989|NA|SHARDA DRUGS
23760|ASUTOSH ENTERPRISES LTD.|020102000000|Private (Indian)|0102040000000000|Other fund based financial services|1981|NA|ASUTENT
23857|ATASH INDUSTRIES (INDIA) LTD.|020102000000|Private (Indian)|0101011101701000|Processed foods|1984|ATASHIND|ATSHIND
23859|ATASH SECURITIES LTD.|020102000000|Private (Indian)|0102200000000000|Diversified financial services|1985|NA|ATASH SECURI
23873|VAARAD VENTURES LTD.|020102000000|Private (Indian)|0101043500000000|Diversified non-financial services|1993|NA|VAARAD
23885|ATCOM TECHNOLOGIES LTD.|020102000000|Private (Indian)|0101041510000000|Business services & consultancy|1989|ATCOM|ATCOM
24028|ATLANTA LTD.|020102000000|Private (Indian)|0101060203000000|Infrastructural construction|1984|ATLANTA|ATLANTA
24074|ATLANTIC SPINNING & WVG. MILLS LTD.|020102000000|Private (Indian)|0101011501000000|Cotton & blended yarn|1986|ATLANTSPG|ATLANTSP
24101|ATLAS COPCO (INDIA) LTD.|020202000000|Private (Foreign)|0101014001350000|Other industrial machinery|1960|ATLASCOPCO|ATLASCOPCO
24106|ATLAS CYCLES (HARYANA) LTD.|020101020122|Atlas Cycle Group|0101014590000000|Other transport equipment & ancillaries|1950|ATLASCYCLE|ATLASCYCLE
24153|ATLAS SOYA PROTEINS LTD.|020102000000|Private (Indian)|0101011101200000|Vegetable oils & products|1985|NA|ATLAS SOYA
24182|ATMA STEELS LTD.|020102000000|Private (Indian)|0102040000000000|Other fund based financial services|1970|NA|ATMA STEEL
24230|EVEXIA LIFECARE LTD.|020102000000|Private (Indian)|0101040401000000|Wholesale trading|1990|NA|EVEXIA
24306|ATUL AUTO LTD.|020102000000|Private (Indian)|0101014502011500|Two & three wheelers|1986|ATULAUTO|ATULAUTO
24360|ATUL GLASS INDS. LTD.|020101030158|Atul Glass Group|0101015003000000|Glass & glassware|1965|NA|ATUL GLASS
24381|ATUL LTD.|020101012900|Lalbhai Group|0101012090000000|Other chemical products|1975|ATUL|ATUL
24448|ATULYA TRADES & AGENCIES LTD.|020102000000|Private (Indian)|0102040000000000|Other fund based financial services|1985|NA|ZATULTRD
24456|ATURIA CONTINENTAL LTD.|020102000000|Private (Indian)|0101014001010000|General purpose machinery|1976|NA|ATURIA CONT.
24496|AKSHARCHEM (INDIA) LTD.|020102000000|Private (Indian)|0101012025000000|Dyes & pigments|1989|AKSHARCHEM|AKSCHEM
